Symbol,Company,EV,SharesOutstanding,Price,PriceChange,Sector,Industry
MMM,3M Company,69835202560,551672000,103.55999755859375,0.5632137877196989,Industrials,Conglomerates
AOS,A. O. Smith Corporation,10377111552,124538000,70.04499816894531,0.3797623515983253,Industrials,Specialty Industrial Machinery
ABT,Abbott Laboratories,201776005120,1737949952,112.01000213623047,0.4574010190407792,Healthcare,Medical Devices
ABBV,AbbVie Inc.,323663429632,1764140032,150.2949981689453,-0.8738964721373776,Healthcare,Drug Manufacturers—General
ACN,Accenture plc,172430426112,631532032,277.7099914550781,0.3505064157975413,Technology,Information Technology Services
ATVI,"Activision Blizzard, Inc.",50754998272,784273984,75.8949966430664,-0.13816231175472862,Communication Services,Electronic Gaming & Multimedia
ADM,Archer-Daniels-Midland Company,53360586752,544635008,75.61750030517578,0.1291052769806478,Consumer Defensive,Farm Products
ADBE,Adobe Inc.,170095607808,458700000,360.375,-2.247328161449581,Technology,Software—Infrastructure
AAP,"Advance Auto Parts, Inc.",11105020928,59273800,124.33999633789062,0.17724487422705482,Consumer Cyclical,Specialty Retail
AMD,"Advanced Micro Devices, Inc.",141626408960,1611389952,83.78500366210938,-6.812363850395531,Technology,Semiconductors
AES,The AES Corporation,41135435776,669030976,22.4950008392334,-0.46459805648939373,Utilities,Utilities—Diversified
AFL,Aflac Incorporated,45203546112,605952000,68.69999694824219,0.08740814137847747,Financial Services,Insurance—Life
A,"Agilent Technologies, Inc.",41657815040,295702016,135.44500732421875,0.6876355368857714,Healthcare,Diagnostics & Research
APD,"Air Products and Chemicals, Inc.",71187603456,222083008,293.4205017089844,0.2701369336651675,Basic Materials,Specialty Chemicals
AKAM,"Akamai Technologies, Inc.",14408838144,156304000,78.7699966430664,-0.24063241759572887,Technology,Software—Infrastructure
ALK,"Alaska Air Group, Inc.",6835817984,127243000,43.560001373291016,0.4380940126608674,Industrials,Airlines
ALB,Albemarle Corporation,22383091712,117299000,178.3699951171875,2.8662024897275056,Basic Materials,Specialty Chemicals
ARE,"Alexandria Real Estate Equities, Inc.",35165593600,173014000,119.63999938964844,0.07528179811663768,Real Estate,REIT—Office
ALGN,"Align Technology, Inc.",22817415168,76739000,303.8900146484375,-0.9614083403606033,Healthcare,Medical Devices
ALLE,Allegion plc,11609634816,87946704,110.0999984741211,0.44703811159665574,Industrials,Security & Protection Services
LNT,Alliant Energy Corporation,22547040256,251138000,54.5099983215332,-0.05500857804693073,Utilities,Utilities—Regulated Electric
ALL,The Allstate Corporation,35749380096,263330000,111.95999908447266,-0.3825971309968363,Financial Services,Insurance—Property & Casualty
GOOGL,Alphabet Inc.,1251639033856,5941000192,105.83000183105469,0.4842402497670854,Communication Services,Internet Content & Information
GOOG,Alphabet Inc.,1260019122176,5873999872,106.5,0.49065861483298356,Communication Services,Internet Content & Information
MO,"Altria Group, Inc.",105742163968,1785040000,47.185001373291016,0.01060062164267891,Consumer Defensive,Tobacco
AMZN,"Amazon.com, Inc.",1177422397440,10260400128,104.76000213623047,1.0904198940755316,Consumer Cyclical,Internet Retail
AMCR,Amcor plc,22897876992,1485779968,9.979999542236328,-8.608062800033625,Consumer Cyclical,Packaging & Containers
AEE,Ameren Corporation,38323384320,262475008,88.97000122070312,-0.1571078210042357,Utilities,Utilities—Regulated Electric
AAL,American Airlines Group Inc.,39681261568,652862976,13.858499526977539,0.6426980898877233,Industrials,Airlines
AEP,"American Electric Power Company, Inc.",87767490560,514407008,91.12000274658203,-0.1752818288978636,Utilities,Utilities—Regulated Electric
AXP,American Express Company,116551639040,743241024,153.67999267578125,0.28058249643148453,Financial Services,Credit Services
AIG,"American International Group, Inc.",54954258432,733667968,51.97999954223633,0.09628257700043984,Financial Services,Insurance—Diversified
AMT,American Tower Corporation,143354757120,466043008,195.36500549316406,-0.39004461675212,Real Estate,REIT—Specialty
AWK,"American Water Works Company, Inc.",39547805696,194644000,147.08999633789062,0.2385146094388823,Utilities,Utilities—Regulated Water
AMP,"Ameriprise Financial, Inc.",26089480192,105279000,297.2900085449219,1.0503088188041763,Financial Services,Asset Management
ABC,AmerisourceBergen Corporation,39188226048,202258000,167.2949981689453,-1.1025075851588344,Healthcare,Medical Distribution
AME,"AMETEK, Inc.",33501659136,230280992,146.52999877929688,0.6387354253412642,Industrials,Specialty Industrial Machinery
AMGN,Amgen Inc.,157684629504,534327008,231.23500061035156,-2.0066107512177127,Healthcare,Drug Manufacturers—General
APH,Amphenol Corporation,48006844416,595318976,75.3499984741211,-0.013271663852051065,Technology,Electronic Components
ADI,"Analog Devices, Inc.",97216184320,505852992,183.0050048828125,-0.35663460589540275,Technology,Semiconductors
ANSS,"ANSYS, Inc.",27634378752,86810704,311.6700134277344,0.9228720379944245,Technology,Software—Application
AON,Aon plc,76737429504,204246000,321.8800048828125,0.3022669542278131,Financial Services,Insurance Brokers
APA,APA Corporation,17904173056,311047008,34.43000030517578,0.203726150104138,Energy,Oil & Gas E&P
AAPL,Apple Inc.,2726385680384,15821899776,170.14999389648438,0.9552592242105038,Technology,Consumer Electronics
AMAT,"Applied Materials, Inc.",97527128064,845118016,113.06500244140625,0.8068852009684857,Technology,Semiconductor Equipment & Materials
APTV,Aptiv PLC,33403336704,271047008,101.65499877929688,0.41983481112009385,Consumer Cyclical,Auto Parts
ANET,"Arista Networks, Inc.",38160994304,306395008,134.23500061035156,-0.5519331676162597,Technology,Computer Hardware
AJG,Arthur J. Gallagher & Co.,50761969664,214246000,211.4438934326172,0.6396446609315533,Financial Services,Insurance Brokers
AIZ,"Assurant, Inc.",6393763328,52920900,133.22999572753906,10.271474695860842,Financial Services,Insurance—Specialty
T,AT&T Inc.,284059435008,7149000192,17.180999755859375,0.6502621901545091,Communication Services,Telecom Services
ATO,Atmos Energy Corporation,24550998016,144484992,113.50499725341797,1.0730162541566979,Utilities,Utilities—Regulated Gas
ADSK,"Autodesk, Inc.",41922486272,214783008,194.19000244140625,0.9198640689150103,Technology,Software—Application
ADP,"Automatic Data Processing, Inc.",91031592960,413500000,218.0500030517578,0.6973321565335829,Industrials,Staffing & Employment Services
AZO,"AutoZone, Inc.",59535028224,18397700,2708.43994140625,0.2053336024126075,Consumer Cyclical,Specialty Retail
AVB,"AvalonBay Communities, Inc.",32737146880,140010000,178.5399932861328,0.16268908057941797,Real Estate,REIT—Residential
AVY,Avery Dennison Corporation,17336639488,81109000,173.25999450683594,-0.057686601963587984,Consumer Cyclical,Packaging & Containers
BKR,Baker Hughes Company,31023106048,1012360000,27.479999542236328,0.4753182531492749,Energy,Oil & Gas Equipment & Services
BAC,Bank of America Corporation,-93971144704,7969149952,28.329999923706055,0.6036929108879777,Financial Services,Banks—Diversified
BBWI,"Bath & Body Works, Inc.",12737308672,228951008,34.68000030517578,0.2312147548432943,Consumer Cyclical,Specialty Retail
BAX,Baxter International Inc.,39058014208,505849984,47.21500015258789,0.43607775492000134,Healthcare,Medical Instruments & Supplies
BDX,"Becton, Dickinson and Company",90736410624,283902016,264.1600036621094,0.14026447632941147,Healthcare,Medical Instruments & Supplies
BBY,"Best Buy Co., Inc.",17886947328,218046000,73.77999877929688,0.7923480591487324,Consumer Cyclical,Specialty Retail
BIO,"Bio-Rad Laboratories, Inc.",12959313920,24521600,456.9549865722656,1.2126753283125735,Healthcare,Medical Devices
TECH,Bio-Techne Corporation,12705872896,157275008,82.9800033569336,3.466338350291261,Healthcare,Biotechnology
BIIB,Biogen Inc.,46589579264,144742000,315.7752990722656,2.100135499309898,Healthcare,Drug Manufacturers—General
BLK,"BlackRock, Inc.",101727199232,149904992,659.1500244140625,1.180429253378943,Financial Services,Asset Management
BK,The Bank of New York Mellon Corporation,-53631135744,789134016,41.54999923706055,-0.1441979402534308,Financial Services,Asset Management
BA,The Boeing Company,162921873408,601593984,205.42999267578125,1.0725671221555966,Industrials,Aerospace & Defense
BKNG,Booking Holdings Inc.,103041859584,37112300,2711.260009765625,-0.17635869127502002,Consumer Cyclical,Travel Services
BWA,BorgWarner Inc.,14456386560,233784992,47.43000030517578,0.27484208282406786,Consumer Cyclical,Auto Parts
BXP,"Boston Properties, Inc.",24520435712,156830000,50.45500183105469,-1.474317846017015,Real Estate,REIT—Office
BSX,Boston Scientific Corporation,84171390976,1437330048,52.91999816894531,0.03780372201382594,Healthcare,Medical Devices
BMY,Bristol-Myers Squibb Company,173245693952,2100850048,67.2699966430664,-1.21880081781731,Healthcare,Drug Manufacturers—General
AVGO,Broadcom Inc.,292725456896,416924000,619.0349731445312,1.093342447746549,Technology,Semiconductors
BR,"Broadridge Financial Solutions, Inc.",21050079232,117693000,157.78500366210938,2.9525014107460423,Technology,Information Technology Services
BRO,"Brown & Brown, Inc.",22004885504,283644000,65.2300033569336,0.4775159533789156,Financial Services,Insurance Brokers
CHRW,"C.H. Robinson Worldwide, Inc.",14164211712,116439000,105.73500061035156,1.278736216811836,Industrials,Integrated Freight & Logistics
CDNS,"Cadence Design Systems, Inc.",56744112128,272684000,208.4199981689453,-0.26319655024868943,Technology,Software—Application
CZR,"Caesars Entertainment, Inc.",35145052160,215200992,46.130001068115234,3.4768978647717272,Consumer Cyclical,Resorts & Casinos
CPB,Campbell Soup Company,20981415936,299476000,54.790000915527344,0.4399650147155758,Consumer Defensive,Packaged Foods
COF,Capital One Financial Corporation,41317101568,382444992,89.93000030517578,0.42434428272002694,Financial Services,Credit Services
CAH,"Cardinal Health, Inc.",22799812608,257639008,81.86499786376953,-0.6010225063507384,Healthcare,Medical Distribution
KMX,"CarMax, Inc.",30077540352,158091008,72.66000366210938,1.8645782449311323,Consumer Cyclical,Auto & Truck Dealerships
CCL,Carnival Corporation & plc,43314651136,1116009984,9.582099914550781,1.3978826936590685,Consumer Cyclical,Travel Services
CARR,Carrier Global Corporation,40713285632,834838016,42.0,0.4304160688665703,Industrials,Building Products & Equipment
CTLT,"Catalent, Inc.",13421134848,180090000,49.43000030517578,1.4573076871424107,Healthcare,Drug Manufacturers—Specialty & Generic
CBOE,"Cboe Global Markets, Inc.",15991520256,105743000,138.14500427246094,-0.4216793249758901,Financial Services,Financial Data & Stock Exchanges
CBRE,"CBRE Group, Inc.",27637272576,310832000,75.56999969482422,0.6258318173425093,Real Estate,Real Estate Services
CDW,CDW Corporation,29093998592,135136000,167.15499877929688,-0.4199935784005353,Technology,Information Technology Services
CE,Celanese Corporation,25153615872,110825000,102.19000244140625,0.15681901539375562,Basic Materials,Chemicals
CNC,Centene Corporation,41376718848,548769024,68.15499877929688,-0.4745929040641486,Healthcare,Healthcare Plans
CNP,"CenterPoint Energy, Inc.",18925150208,631028992,30.1299991607666,0.26622016894043543,Utilities,Utilities—Regulated Electric
CDAY,Ceridian HCM Holding Inc.,10867665920,152696992,63.415000915527344,-0.07090936727490876,Technology,Software—Application
CF,"CF Industries Holdings, Inc.",17594572800,195000000,74.30000305175781,0.3240656923545912,Basic Materials,Agricultural Inputs
CRL,"Charles River Laboratories International, Inc.",12597043200,51181800,192.13999938964844,1.6613753384383267,Healthcare,Diagnostics & Research
SCHW,The Charles Schwab Corporation,87519543296,1767820032,49.88999938964844,-0.4191628949133012,Financial Services,Capital Markets
CHTR,"Charter Communications, Inc.",156401319936,150575008,359.55499267578125,0.6508391444674948,Communication Services,Telecom Services
CVX,Chevron Corporation,315573108736,1894640000,158.42999267578125,-1.006003076867497,Energy,Oil & Gas Integrated
CMG,"Chipotle Mexican Grill, Inc.",59377438720,27589800,2054.570068359375,0.029702056484788585,Consumer Cyclical,Restaurants
CB,Chubb Limited,82186305536,414159008,200.24000549316406,-0.12967307074111598,Financial Services,Insurance—Property & Casualty
CHD,"Church & Dwight Co., Inc.",26085158912,244264000,97.58999633789062,0.587503955772654,Consumer Defensive,Household & Personal Products
CI,The Cigna Group,99259760640,297032992,246.5399932861328,-1.5493996940608479,Healthcare,Healthcare Plans
CINF,Cincinnati Financial Corporation,16233525248,157212992,104.6050033569336,0.9311109194650647,Financial Services,Insurance—Property & Casualty
CTAS,Cintas Corporation,49497444352,101702000,459.3299865722656,0.09806192735914171,Industrials,Specialty Business Services
CSCO,"Cisco Systems, Inc.",177778376704,4095820032,46.375,0.032355478861088374,Technology,Communication Equipment
C,Citigroup Inc.,-408989204480,1946460032,46.41999816894531,0.913039497707201,Financial Services,Banks—Diversified
CFG,"Citizens Financial Group, Inc.",27762120704,483982016,27.420000076293945,1.8195324036165823,Financial Services,Banks—Regional
CLX,The Clorox Company,23802601472,123525000,175.0850067138672,4.391251319978052,Consumer Defensive,Household & Personal Products
CME,CME Group Inc.,68756865024,359740000,184.6199951171875,-0.4904893455573229,Financial Services,Financial Data & Stock Exchanges
CMS,CMS Energy Corporation,32642934784,291656000,61.400001525878906,-0.1463627811369259,Utilities,Utilities—Regulated Electric
KO,The Coca-Cola Company,308023263232,4324579840,63.810001373291016,-0.31244903407122243,Consumer Defensive,Beverages—Non-Alcoholic
CTSH,Cognizant Technology Solutions Corporation,29522190336,507465984,59.72999954223633,0.5894232775956981,Technology,Information Technology Services
CL,Colgate-Palmolive Company,75265589248,829568000,81.0,0.18552875695733545,Consumer Defensive,Household & Personal Products
CMCSA,Comcast Corporation,267960680448,4159379968,41.15999984741211,-0.09708774899974142,Communication Services,Telecom Services
CMA,Comerica Incorporated,13848969216,131670000,37.880001068115234,1.7732430631790315,Financial Services,Banks—Regional
CAG,"Conagra Brands, Inc.",27721578496,476907008,38.48500061035156,0.09102889558272992,Consumer Defensive,Packaged Foods
COP,ConocoPhillips,132906156032,1211879936,96.95980072021484,-1.703365044388845,Energy,Oil & Gas E&P
ED,"Consolidated Edison, Inc.",58333786112,346438016,98.52999877929688,-0.04058153667760797,Utilities,Utilities—Regulated Electric
STZ,"Constellation Brands, Inc.",55026397184,183232000,228.9250030517578,0.5512377791355142,Consumer Defensive,Beverages—Wineries & Distilleries
CPRT,"Copart, Inc.",35813978112,476592992,79.44000244140625,0.9146372477213557,Consumer Cyclical,Auto & Truck Dealerships
GLW,Corning Incorporated,35080818688,850129984,32.43000030517578,-0.18467126754146118,Technology,Electronic Components
CTVA,"Corteva, Inc.",42491101184,712604992,60.744998931884766,0.17315127289704,Basic Materials,Agricultural Inputs
COST,Costco Wholesale Corporation,214337880064,443483008,495.29998779296875,0.09902544268885992,Consumer Defensive,Discount Stores
CTRA,Coterra Energy Inc.,20613373952,765504000,24.149999618530273,-0.6581669332362209,Energy,Oil & Gas E&P
CCI,Crown Castle Inc.,81296359424,434000000,118.37000274658203,-0.12655860058890042,Real Estate,REIT—Specialty
CSX,CSX Corporation,80209018880,2033049984,31.395000457763672,1.046026577932641,Industrials,Railroads
CMI,Cummins Inc.,32182663168,141540000,229.67999267578125,0.8961486012042101,Industrials,Specialty Industrial Machinery
CVS,CVS Health Corporation,148740964352,1279830016,70.61499786376953,-2.9480513142255,Healthcare,Healthcare Plans
DHI,"D.R. Horton, Inc.",40712806400,341071008,110.19999694824219,1.4919846640653796,Consumer Cyclical,Residential Construction
DHR,Danaher Corporation,194383446016,737899008,251.40890502929688,3.5499423490658115,Healthcare,Diagnostics & Research
DRI,"Darden Restaurants, Inc.",24047919104,120929000,151.47500610351562,-0.23381011426225878,Consumer Cyclical,Restaurants
DVA,DaVita Inc.,21184440320,90653696,88.79499816894531,0.5150533947762158,Healthcare,Medical Care Facilities
DE,Deere & Company,166021480448,296321984,389.0799865722656,1.3757130203922912,Industrials,Farm & Heavy Construction Machinery
DAL,"Delta Air Lines, Inc.",46524313600,642716992,34.55500030517578,0.07240169468803971,Industrials,Airlines
XRAY,DENTSPLY SIRONA Inc.,10850736128,212466000,41.380001068115234,-1.7102112396312756,Healthcare,Medical Instruments & Supplies
DVN,Devon Energy Corporation,38696554496,643843968,49.80500030517578,-1.784657256604653,Energy,Oil & Gas E&P
DXCM,"DexCom, Inc.",45363318784,387636000,117.26000213623047,-0.7280713374276463,Healthcare,Medical Devices
FANG,"Diamondback Energy, Inc.",32098725888,181423008,132.35000610351562,-1.999255014057302,Energy,Oil & Gas E&P
DLR,"Digital Realty Trust, Inc.",49461288960,291299008,94.63670349121094,-0.1195741517562665,Real Estate,REIT—Specialty
DFS,Discover Financial Services,34384564224,253946000,96.98989868164062,1.8587467776104034,Financial Services,Credit Services
DISH,DISH Network Corporation,25815439360,292716992,7.2891998291015625,3.5397702997381035,Communication Services,Telecom Services
DG,Dollar General Corporation,65535975424,219108000,218.72999572753906,-0.6856176318838297,Consumer Defensive,Discount Stores
DLTR,"Dollar Tree, Inc.",43705393152,221228000,154.00999450683594,-0.4395924062085851,Consumer Defensive,Discount Stores
D,"Dominion Energy, Inc.",94011301888,835251008,56.09000015258789,1.0084641681755617,Utilities,Utilities—Regulated Electric
DPZ,"Domino's Pizza, Inc.",16098591744,35339000,315.57000732421875,1.2773219051377693,Consumer Cyclical,Restaurants
DOV,Dover Corporation,23969959936,139851008,145.98500061035156,0.8601634726762147,Industrials,Specialty Industrial Machinery
DOW,Dow Inc.,51441803264,707315008,53.84000015258789,0.11156592150964949,Basic Materials,Chemicals
DTE,DTE Energy Company,42482782208,206108992,111.8499984741211,0.22401296964256223,Utilities,Utilities—Regulated Electric
DUK,Duke Energy Corporation,155465842688,770648000,97.6510009765625,0.05225509893699354,Utilities,Utilities—Regulated Electric
DD,"DuPont de Nemours, Inc.",31799494656,459016000,65.41999816894531,0.5997203889671096,Basic Materials,Specialty Chemicals
DXC,DXC Technology Company,9402780672,227682000,23.665000915527344,0.48832660521164767,Technology,Information Technology Services
EMN,Eastman Chemical Company,14800996352,119152000,80.7300033569336,0.3979646274513085,Basic Materials,Specialty Chemicals
ETN,Eaton Corporation plc,75898437632,398512992,173.94000244140625,0.3982698074494949,Industrials,Specialty Industrial Machinery
EBAY,eBay Inc.,25487781888,534503008,45.65999984741211,1.1968081724559219,Consumer Cyclical,Internet Retail
ECL,Ecolab Inc.,49576050688,284670016,177.3000030517578,1.7328454508594282,Basic Materials,Specialty Chemicals
EIX,Edison International,64095469568,382627008,72.81999969482422,-0.6277296740935895,Utilities,Utilities—Regulated Electric
EW,Edwards Lifesciences Corporation,52749623296,606217984,88.31999969482422,0.5807991058241846,Healthcare,Medical Devices
EA,Electronic Arts Inc.,34291554304,274228000,126.3550033569336,0.15456829179898318,Communication Services,Electronic Gaming & Multimedia
LLY,Eli Lilly and Company,399061024768,949273024,421.60150146484375,4.30517106997619,Healthcare,Drug Manufacturers—General
EMR,Emerson Electric Co.,61084508160,571400000,86.54000091552734,5.254197172862254,Industrials,Specialty Industrial Machinery
